uid,y
8000,1
8001,1
8002,1
8003,1
8004,1
8005,0
8006,1
8007,1
8008,1
8009,1
8010,1
8011,1
8012,1
8013,1
8014,1
8015,1
8016,1
8017,1
8018,1
8019,0
8020,1
8021,1
8022,0
8023,1
8024,0
8025,1
8026,0
8027,1
8028,1
8029,1
8030,0
8031,0
8032,1
8033,1
8034,1
8035,1
8036,0
8037,1
8038,1
8039,1
8040,0
8041,0
8042,1
8043,1
8044,1
8045,0
8046,1
8047,0
8048,1
8049,0
8050,0
8051,0
8052,1
8053,1
8054,1
8055,0
8056,1
8057,1
8058,1
8059,0
8060,0
8061,1
8062,1
8063,1
8064,1
8065,1
8066,1
8067,1
8068,1
8069,1
8070,1
8071,1
8072,1
8073,1
8074,1
8075,1
8076,1
8077,1
8078,1
8079,1
8080,1
8081,1
8082,1
8083,1
8084,1
8085,1
8086,1
8087,1
8088,1
8089,1
8090,0
8091,1
8092,1
8093,0
8094,0
8095,0
8096,1
8097,1
8098,1
8099,1
8100,1
8101,0
8102,1
8103,0
8104,1
8105,0
8106,1
8107,0
8108,1
8109,1
8110,1
8111,1
8112,1
8113,1
8114,1
8115,0
8116,0
8117,1
8118,1
8119,0
8120,0
8121,1
8122,1
8123,0
8124,1
8125,1
8126,1
8127,1
8128,0
8129,1
8130,1
8131,1
8132,1
8133,1
8134,0
8135,1
8136,1
8137,1
8138,1
8139,1
8140,1
8141,1
8142,0
8143,1
8144,1
8145,1
8146,1
8147,0
8148,0
8149,1
8150,0
8151,1
8152,1
8153,1
8154,1
8155,1
8156,0
8157,1
8158,1
8159,0
8160,1
8161,1
8162,1
8163,0
8164,1
8165,1
8166,1
8167,1
8168,0
8169,0
8170,1
8171,1
8172,0
8173,1
8174,0
8175,1
8176,0
8177,1
8178,0
8179,1
8180,1
8181,1
8182,1
8183,1
8184,1
8185,1
8186,0
8187,1
8188,1
8189,1
8190,1
8191,1
8192,1
8193,1
8194,1
8195,1
8196,1
8197,0
8198,1
8199,0
8200,0
8201,0
8202,1
8203,1
8204,1
8205,0
8206,1
8207,1
8208,1
8209,1
8210,0
8211,1
8212,1
8213,0
8214,1
8215,1
8216,0
8217,1
8218,0
8219,1
8220,1
8221,1
8222,1
8223,1
8224,0
8225,1
8226,0
8227,1
8228,1
8229,0
8230,1
8231,1
8232,1
8233,0
8234,1
8235,1
8236,1
8237,0
8238,1
8239,1
8240,1
8241,1
8242,1
8243,1
8244,1
8245,1
8246,1
8247,0
8248,0
8249,1
8250,1
8251,1
8252,1
8253,0
8254,0
8255,1
8256,1
8257,1
8258,1
8259,1
8260,1
8261,1
8262,1
8263,1
8264,1
8265,1
8266,1
8267,1
8268,0
8269,1
8270,1
8271,1
8272,1
8273,1
8274,0
8275,1
8276,0
8277,0
8278,0
8279,0
8280,1
8281,0
8282,1
8283,1
8284,0
8285,1
8286,0
8287,1
8288,1
8289,1
8290,1
8291,0
8292,1
8293,1
8294,1
8295,1
8296,1
8297,1
8298,0
8299,1
8300,0
8301,1
8302,0
8303,0
8304,1
8305,1
8306,1
8307,1
8308,1
8309,1
8310,1
8311,1
8312,1
8313,1
8314,1
8315,1
8316,1
8317,0
8318,1
8319,1
8320,1
8321,1
8322,1
8323,1
8324,1
8325,1
8326,1
8327,1
8328,1
8329,1
8330,1
8331,1
8332,1
8333,1
8334,1
8335,1
8336,1
8337,1
8338,0
8339,1
8340,1
8341,1
8342,1
8343,1
8344,0
8345,1
8346,1
8347,1
8348,1
8349,1
8350,1
8351,1
8352,1
